KP_Common_Area,20250304_t_233610_sink,1497,1509,,,,,,
KP_Common_Area,20250304_t_233642_sink,1497,1506,,,,,,
KP_Common_Area,20250304_t_233718_sink,1352,1360,,,,,,
KP_Common_Area,20250304_t_233819_sink,NA,NA,,,,,,
KP_Common_Area,20250304_t_233910_sink,1811,1819,,,,,,
KP_Common_Area,20250304_t_233950_sink,1575,1584,,,,,,
KP_Common_Area,20250304_t_234030_sink,1481,1497,,,,,,
KP_Common_Area,20250304_t_234108_sink,412,427,,,,,,
KP_Common_Area,20250304_t_234154_sink,539,550,782,798,841,878,1394,1404
KP_Common_Area,20250304_t_234255_sink,1532,1544,,,,,,
KP_Study_Area,20250304_t_232420_sink,1195,1201,,,,,,
KP_Study_Area,20250304_t_232501_sink,1338,1350,,,,,,
KP_Study_Area,20250304_t_232549_sink,1087,1095,,,,,,
KP_Study_Area,20250304_t_232631_sink,1082,1091,,,,,,
KP_Study_Area,20250304_t_232704_sink,1649,1657,,,,,,
KP_Study_Area,20250304_t_232757_sink,1325,1334,,,,,,
KP_Study_Area,20250304_t_232837_sink,1506,1516,,,,,,
KP_Study_Area,20250304_t_233005_sink,NA,NA,,,,,,
KP_Study_Area,20250304_t_233054_sink,1707,1715,,,,,,
KP_Study_Area,20250304_t_233206_sink,1838,1844,,,,,,
